Manufacturer;OrderDate;Brand;Category;Tyre type;Season;Stud;Run flat;Width;Ratio;Diameter;Load Index;Speed Index;Load Index;Speed Index;Pattern;Weight;OE;Marking;EAN;IPC;Energy;Grip;Rolling noise;Noise echo class;Quantity;List Price ;Net Price ;Currency;PS Account Number;PS Member Name;City
PIRELLI;201803;FORMULA;Car; ;SUMMER; ;0;155;65;14;75;T; ; ;FORMULA ENERGY;5974; ; ;8019227214031;2140300; ; ; ; ;4;55;30.25;EUR;8051195;MACERATESI GOMME SNC;SUBIACO
PIRELLI;201803;FORMULA;Car; ;SUMMER; ;0;175;65;14;82;T; ; ;FORMULA ENERGY;6842; ; ;8019227217599;2175900; ; ; ; ;12;49.5;27.51;EUR;8001333;PIERIS GOMME S.R.L.;SAN CANZIAN D'ISONZO
PIRELLI;201803;FORMULA;Car; ;SUMMER; ;0;175;65;14;82;T; ; ;FORMULA ENERGY;6842; ; ;8019227217599;2175900; ; ; ; ;2;49.5;25.58;EUR;8017820;COGO DAMIANO;MONTECCHIO MAGGIORE
PIRELLI;201803;FORMULA;Car; ;SUMMER; ;0;185;65;15;88;T; ; ;FORMULA ENERGY;7543; ; ;8019227217650;2176500; ; ; ; ;4;58;29.97;EUR;8017820;COGO DAMIANO;MONTECCHIO MAGGIORE
PIRELLI;201803;FORMULA;Car; ;SUMMER; ;0;195;50;15;82;V; ; ;FORMULA ENERGY;7408; ; ;8019227213942;2139400; ; ; ; ;4;58.5;30.23;EUR;8017820;COGO DAMIANO;MONTECCHIO MAGGIORE
PIRELLI;201803;FORMULA;Car; ;SUMMER; ;0;195;65;15;95;T; ; ;FORMULA ENERGY;8823; ; ;8019227217629;2176200; ; ; ; ;2;72.5;39.88;EUR;8052508;VILLANI SNC;CASINALBO
PIRELLI;201803;FORMULA;Car; ;WINTER; ;0;225;40;18;92;V; ; ;FORMULA WINTER;9537; ; ;8019227249798;2497900; ; ; ; ;1;216.5;62.4;EUR;8052402;FRATTINI GOMME;CESANO BOSCONE
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;165;70;14;81;T; ; ;CINTURATO ALL SEASON;6943; ; ;8019227273007;2730000; ; ; ; ;6;80.5;42.38;EUR;8001487;MOSCONI GOMME E SERVICE S.A.S;GREZZANA
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;175;65;14;82;T; ; ;CINTURATO ALL SEASON;6992; ; ;8019227352665;3526600; ; ; ; ;4;80.5;42.38;EUR;8001487;MOSCONI GOMME E SERVICE S.A.S;GREZZANA
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;175;65;14;82;T; ; ;CINTURATO ALL SEASON;6992; ; ;8019227352665;3526600; ; ; ; ;10;80.5;42.38;EUR;8004940;COMMERCIALE  PNEUMATICI  SRL;PRADAMANO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;175;65;14;82;T; ; ;CINTURATO ALL SEASON;6992; ; ;8019227352665;3526600; ; ; ; ;4;80.5;42.38;EUR;8001762;DRAGO LORENZO GOMME & C.SNC;TAGLIO DI PO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;175;65;15;84;H; ; ;CINTURATO ALL SEASON;6939; ; ;8019227253306;2533000; ; ; ; ;1;101;55.56;EUR;8019631;FURLANGOMME SRL;UDINE
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;175;65;15;84;H; ; ;CINTURATO ALL SEASON;6939; ; ;8019227253306;2533000; ; ; ; ;4;101;54.54;EUR;8001432;PIVA GOMME SCHIO S.R.L.;SCHIO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;175;65;15;84;H; ; ;CINTURATO ALL SEASON;6939; ; ;8019227253306;2533000; ; ; ; ;4;101;52.63;EUR;8005347;GUGLIELMO VITTORIO SRL;ROVIGO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;175;65;15;84;H; ; ;CINTURATO ALL SEASON PLUS;7541; ; ;8019227308990;3089900; ; ; ; ;2;101;51.17;EUR;8040786;FERRARI GOMME SNC;ROZZANO FRAZ.QUINTO DE'STAMPI
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;185;55;15;82;H; ; ;CINTURATO ALL SEASON PLUS;7657; ; ;8019227309003;3090000; ; ; ; ;2;111;57.36;EUR;8043214;BREMBATI GOMME SRL;MILANO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;185;55;15;82;H; ; ;CINTURATO ALL SEASON PLUS;7657; ; ;8019227309003;3090000; ; ; ; ;4;111;56.77;EUR;8015314;GIACOBAZZI GOMME DI ALBERTO G.;MONTEGROTTO TERME
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;185;55;15;82;H; ; ;CINTURATO ALL SEASON PLUS;7657; ; ;8019227309003;3090000; ; ; ; ;4;111;58.44;EUR;8001333;PIERIS GOMME S.R.L.;SAN CANZIAN D'ISONZO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;185;55;15;82;H; ; ;CINTURATO ALL SEASON PLUS;7657; ; ;8019227309003;3090000; ; ; ; ;4;111;59.94;EUR;8001432;PIVA GOMME SCHIO S.R.L.;SCHIO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;185;55;15;82;H; ; ;CINTURATO ALL SEASON PLUS;7657; ; ;8019227309003;3090000; ; ; ; ;4;111;58.44;EUR;8001304;SOLIGO S.N.C. DI SOLIGO R.L. & C.;QUINTO DI TREVISO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;185;55;15;82;H; ; ;CINTURATO ALL SEASON PLUS;7657; ; ;8019227309003;3090000; ; ; ; ;4;111;58.44;EUR;8004940;COMMERCIALE  PNEUMATICI  SRL;PRADAMANO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;185;60;15;88;H; ; ;CINTURATO ALL SEASON PLUS;7618; ; ;8019227308877;3088700; ; ; ; ;4;110.5;58.18;EUR;8001304;SOLIGO S.N.C. DI SOLIGO R.L. & C.;QUINTO DI TREVISO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;185;65;15;88;H; ; ;CINTURATO ALL SEASON;7583; ; ;8019227253337;2533300; ; ; ; ;4;92;48.44;EUR;8001304;SOLIGO S.N.C. DI SOLIGO R.L. & C.;QUINTO DI TREVISO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;185;65;15;88;H; ; ;CINTURATO ALL SEASON PLUS;8161; ; ;8019227308976;3089700; ; ; ; ;4;92;48.44;EUR;8001333;PIERIS GOMME S.R.L.;SAN CANZIAN D'ISONZO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;185;65;15;88;H; ; ;CINTURATO ALL SEASON PLUS;8161; ; ;8019227308976;3089700; ; ; ; ;4;92;47.54;EUR;8005783;LUSI GOMMA S.R.L.;BUONCONVENTO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;185;65;15;88;H; ; ;CINTURATO ALL SEASON PLUS;8161; ; ;8019227308976;3089700; ; ; ; ;8;92;49.68;EUR;8001432;PIVA GOMME SCHIO S.R.L.;SCHIO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;185;65;15;88;H; ; ;CINTURATO ALL SEASON PLUS;8161; ; ;8019227308976;3089700; ; ; ; ;4;92;48.44;EUR;8001304;SOLIGO S.N.C. DI SOLIGO R.L. & C.;QUINTO DI TREVISO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;185;65;15;88;H; ; ;CINTURATO ALL SEASON PLUS;8161; ; ;8019227308976;3089700; ; ; ; ;8;92;47.94;EUR;8005347;GUGLIELMO VITTORIO SRL;ROVIGO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;185;65;15;88;H; ; ;CINTURATO ALL SEASON PLUS;8161; ; ;8019227308976;3089700; ; ; ; ;4;92;48.44;EUR;8004940;COMMERCIALE  PNEUMATICI  SRL;PRADAMANO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;195;55;16;87;V; ; ;CINTURATO ALL SEASON PLUS;8528; ; ;8019227308914;3089100; ; ; ; ;4;153.5;80.82;EUR;8001487;MOSCONI GOMME E SERVICE S.A.S;GREZZANA
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;195;65;15;91;H; ; ;CINTURATO ALL SEASON PLUS;8910; ; ;8019227308884;3088800; ; ; ; ;4;85.5;45.02;EUR;8001333;PIERIS GOMME S.R.L.;SAN CANZIAN D'ISONZO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;195;65;15;91;V; ; ;CINTURATO ALL SEASON PLUS;8829; ; ;8019227308891;3088900; ; ; ; ;8;89.5;48.33;EUR;8001432;PIVA GOMME SCHIO S.R.L.;SCHIO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;205;55;16;91;V; ; ;CINTURATO ALL SEASON PLUS;9275; ; ;8019227308938;3089300; ; ; ; ;4;110.5;58.18;EUR;8001487;MOSCONI GOMME E SERVICE S.A.S;GREZZANA
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;225;45;17;94;W; ; ;CINTURATO ALL SEASON PLUS;10257; ; ;8019227308969;3089600; ; ; ; ;4;145.5;74.48;EUR;8001304;SOLIGO S.N.C. DI SOLIGO R.L. & C.;QUINTO DI TREVISO
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;225;50;17;98;W; ; ;CINTURATO ALL SEASON PLUS;10245; ; ;8019227309072;3090700; ; ; ; ;4;198.5;98.71;EUR;8052402;FRATTINI GOMME;CESANO BOSCONE
PIRELLI;201803;PIRELLI;Car; ;ALL SEASONS; ;0;225;50;17;98;W; ; ;CINTURATO ALL SEASON PLUS;10245; ; ;8019227309072;3090700; ; ; ; ;4;198.5;101.61;EUR;8004940;COMMERCIALE  PNEUMATICI  SRL;PRADAMANO
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;1;225;40;19;89;Y; ; ;PZERO;11031;*; ;8019227199079;1990700; ; ; ; ;2;350.5;179.41;EUR;8001487;MOSCONI GOMME E SERVICE S.A.S;GREZZANA
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;1;225;45;18;91;W; ; ;CINTURATO P7;11430;AR; ;8019227264029;2640200; ; ; ; ;2;236.5;117.6;EUR;8052402;FRATTINI GOMME;CESANO BOSCONE
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;1;225;45;18;95;Y; ; ;CINTURATO P7;11942;*; ;8019227254419;2544100; ; ; ; ;2;252;128.99;EUR;8001487;MOSCONI GOMME E SERVICE S.A.S;GREZZANA
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;1;245;45;18;100;Y; ; ;CINTURATO P7;12844;*MOE; ;8019227247916;2479100; ; ; ; ;4;259.5;127.71;EUR;8040786;FERRARI GOMME SNC;ROZZANO FRAZ.QUINTO DE'STAMPI
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;1;245;45;19;98;Y; ; ;P-ZERO;13470;*; ;8019227254433;2544300; ; ; ; ;2;347.5;171.02;EUR;8040786;FERRARI GOMME SNC;ROZZANO FRAZ.QUINTO DE'STAMPI
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;1;255;35;19;96;Y; ; ;PZERO;12567;*; ;8019227260465;2604600; ; ; ; ;2;343;175.57;EUR;8001487;MOSCONI GOMME E SERVICE S.A.S;GREZZANA
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;1;255;40;18;95;Y; ; ;CINTURATO P7;12877;*; ;8019227199062;1990600; ; ; ; ;2;405;203.36;EUR;8005783;LUSI GOMMA S.R.L.;BUONCONVENTO
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;165;70;14;81;T; ; ;CINTURATO P1;6533; ; ;8019227232554;2325500; ; ; ; ;2;73;33.64;EUR;8052402;FRATTINI GOMME;CESANO BOSCONE
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;175;65;14;82;T; ; ;CINTURATO P1;6670; ; ;8019227232578;2325700; ; ; ; ;8;77;33.29;EUR;8015314;GIACOBAZZI GOMME DI ALBERTO G.;MONTEGROTTO TERME
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;175;65;14;82;T; ; ;CINTURATO P1;6670; ; ;8019227232578;2325700; ; ; ; ;4;77;33.64;EUR;8005783;LUSI GOMMA S.R.L.;BUONCONVENTO
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;175;65;14;82;T; ; ;CINTURATO P1;6670; ; ;8019227232578;2325700; ; ; ; ;8;77;33.64;EUR;8052402;FRATTINI GOMME;CESANO BOSCONE
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;175;65;14;82;T; ; ;CINTURATO P1;6670; ; ;8019227232578;2325700; ; ; ; ;4;77;33.64;EUR;8017820;COGO DAMIANO;MONTECCHIO MAGGIORE
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;175;65;14;82;T; ; ;CINTURATO P1;6670; ; ;8019227232578;2325700; ; ; ; ;10;77;33.64;EUR;8001487;MOSCONI GOMME E SERVICE S.A.S;GREZZANA
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;175;65;14;82;T; ; ;CINTURATO P1;6670; ; ;8019227232578;2325700; ; ; ; ;8;77;33.64;EUR;8004940;COMMERCIALE  PNEUMATICI  SRL;PRADAMANO
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;175;65;14;82;T; ; ;CINTURATO P1;6670; ; ;8019227232578;2325700; ; ; ; ;12;77;33.29;EUR;8005361;SPRINT GOMME SNC;SOAVE
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;175;70;14;88;T; ; ;CINTURATO P1;6986; ; ;8019227259537;2595300; ; ; ; ;4;95;48.59;EUR;8015314;GIACOBAZZI GOMME DI ALBERTO G.;MONTEGROTTO TERME
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;55;15;82;H; ; ;CINTURATO P1;7039; ; ;8019227232622;2326200; ; ; ; ;4;106;55.24;EUR;8015314;GIACOBAZZI GOMME DI ALBERTO G.;MONTEGROTTO TERME
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;55;15;82;H; ; ;CINTURATO P1;7039; ; ;8019227232622;2326200; ; ; ; ;2;106;55.81;EUR;8001333;PIERIS GOMME S.R.L.;SAN CANZIAN D'ISONZO
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;55;15;82;H; ; ;CINTURATO P1;7039; ; ;8019227232622;2326200; ; ; ; ;4;106;55.81;EUR;8004940;COMMERCIALE  PNEUMATICI  SRL;PRADAMANO
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;55;15;82;H; ; ;CINTURATO P1;7039; ; ;8019227232622;2326200; ; ; ; ;4;106;55.24;EUR;8005361;SPRINT GOMME SNC;SOAVE
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;60;14;82;H; ; ;CINTURATO P1;6995; ; ;8019227232646;2326400; ; ; ; ;2;76;35.1;EUR;8001487;MOSCONI GOMME E SERVICE S.A.S;GREZZANA
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;60;14;82;H; ; ;CINTURATO P1;6995; ; ;8019227232646;2326400; ; ; ; ;4;76;35.1;EUR;8001304;SOLIGO S.N.C. DI SOLIGO R.L. & C.;QUINTO DI TREVISO
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;60;15;84;H; ; ;CINTURATO P1;7390; ; ;8019227281316;2813100; ; ; ; ;4;100;47.29;EUR;8001304;SOLIGO S.N.C. DI SOLIGO R.L. & C.;QUINTO DI TREVISO
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;60;15;88;H; ; ;CINTURATO P1;7401; ; ;8019227267815;2678100; ; ; ; ;4;104.5;55.02;EUR;8001762;DRAGO LORENZO GOMME & C.SNC;TAGLIO DI PO
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;65;15;88;H; ; ;CINTURATO P1;7649; ; ;8019227232677;2326700; ; ; ; ;4;96.5;53.08;EUR;8019631;FURLANGOMME SRL;UDINE
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;65;15;88;H; ; ;CINTURATO P1;7649; ; ;8019227232677;2326700; ; ; ; ;2;96.5;53.63;EUR;8017183;LK KOMJANC LUIGI SRL;GORIZIA
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;65;15;88;T; ; ;CINTURATO P1;7495; ; ;8019227232714;2327100; ; ; ; ;13;83.5;38.12;EUR;8040786;FERRARI GOMME SNC;ROZZANO FRAZ.QUINTO DE'STAMPI
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;65;15;88;T; ; ;CINTURATO P1;7495; ; ;8019227232714;2327100; ; ; ; ;12;83.5;38.12;EUR;8015314;GIACOBAZZI GOMME DI ALBERTO G.;MONTEGROTTO TERME
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;65;15;88;T; ; ;CINTURATO P1;7495; ; ;8019227232714;2327100; ; ; ; ;8;83.5;38.51;EUR;8001333;PIERIS GOMME S.R.L.;SAN CANZIAN D'ISONZO
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;65;15;88;T; ; ;CINTURATO P1;7495; ; ;8019227232714;2327100; ; ; ; ;16;83.5;38.51;EUR;8052402;FRATTINI GOMME;CESANO BOSCONE
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;65;15;88;T; ; ;CINTURATO P1;7495; ; ;8019227232714;2327100; ; ; ; ;8;83.5;38.51;EUR;8001487;MOSCONI GOMME E SERVICE S.A.S;GREZZANA
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;65;15;88;T; ; ;CINTURATO P1;7495; ; ;8019227232714;2327100; ; ; ; ;4;83.5;38.12;EUR;8005347;GUGLIELMO VITTORIO SRL;ROVIGO
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;65;15;88;T; ; ;CINTURATO P1;7495; ; ;8019227232714;2327100; ; ; ; ;4;83.5;38.51;EUR;8004940;COMMERCIALE  PNEUMATICI  SRL;PRADAMANO
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;65;15;88;T; ; ;CINTURATO P1;7495; ; ;8019227232714;2327100; ; ; ; ;12;83.5;38.12;EUR;8005361;SPRINT GOMME SNC;SOAVE
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;185;65;15;92;H; ; ;CINTURATO P1;7747; ; ;8019227262285;2622800; ; ; ; ;2;87;45.81;EUR;8001487;MOSCONI GOMME E SERVICE S.A.S;GREZZANA
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;195;45;16;84;V; ; ;PZERO NERO GT;8477; ; ;8019227238303;2383000; ; ; ; ;2;113.5;53.14;EUR;8001487;MOSCONI GOMME E SERVICE S.A.S;GREZZANA
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;195;50;15;82;V; ; ;CINTURATO P1;7125; ; ;8019227232851;2328500; ; ; ; ;1;83.5;42.3;EUR;8040786;FERRARI GOMME SNC;ROZZANO FRAZ.QUINTO DE'STAMPI
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;195;55;16;87;H; ; ;CINTURATO P1;7598; ; ;8019227232776;2327700; ; ; ; ;9;119;60.29;EUR;8040786;FERRARI GOMME SNC;ROZZANO FRAZ.QUINTO DE'STAMPI
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;195;55;16;87;H; ; ;CINTURATO P1;7598; ; ;8019227232776;2327700; ; ; ; ;4;119;62.01;EUR;8015314;GIACOBAZZI GOMME DI ALBERTO G.;MONTEGROTTO TERME
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;195;55;16;87;H; ; ;CINTURATO P1;7598; ; ;8019227232776;2327700; ; ; ; ;4;119;62.65;EUR;8001333;PIERIS GOMME S.R.L.;SAN CANZIAN D'ISONZO
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;195;55;16;87;H; ; ;CINTURATO P1;7598; ; ;8019227232776;2327700; ; ; ; ;4;119;60.91;EUR;8052402;FRATTINI GOMME;CESANO BOSCONE
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;195;60;15;88;H; ; ;CINTURATO P1;7963; ; ;8019227232783;2327800; ; ; ; ;4;95;50.02;EUR;8001762;DRAGO LORENZO GOMME & C.SNC;TAGLIO DI PO
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;195;65;15;91;H; ; ;CINTURATO P1;8332; ; ;8019227232769;2327600; ; ; ; ;5;81;42.21;EUR;8005361;SPRINT GOMME SNC;SOAVE
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;195;65;15;95;H; ; ;CINTURATO P1;8678; ; ;8019227232868;2328600; ; ; ; ;2;100;51.19;EUR;8052402;FRATTINI GOMME;CESANO BOSCONE
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;205;45;16;83;W; ; ;PZERO NERO GT;8334; ; ;8019227238334;2383300; ; ; ; ;1;128.5;66.95;EUR;8005347;GUGLIELMO VITTORIO SRL;ROVIGO
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;205;50;17;89;V; ; ;CINTURATO P7;8601; ; ;8019227281477;2814700; ; ; ; ;4;152;77.01;EUR;8005347;GUGLIELMO VITTORIO SRL;ROVIGO
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;205;50;17;93;V; ; ;CINTURATO P7;9220; ; ;8019227232912;2329100; ; ; ; ;4;155;76.28;EUR;8040786;FERRARI GOMME SNC;ROZZANO FRAZ.QUINTO DE'STAMPI
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;205;50;17;93;V; ; ;CINTURATO P7;9220; ; ;8019227232912;2329100; ; ; ; ;4;155;79.34;EUR;8001762;DRAGO LORENZO GOMME & C.SNC;TAGLIO DI PO
PIRELLI;201803;PIRELLI;Car; ;SUMMER; ;0;205;55;16;91;V; ; ;CINTURATO P7;8295; ; ;8019227232899;2328900; ; ; ; ;4;93.5;43.39;EUR;8017820;COGO DAMIANO;MONTECCHIO MAGGIORE
